Model,Accuracy,Precision,Recall,F1,F2,ROC-AUC,PR-AUC,Brier
Baseline (Majority),0.6728110599078341,0.6728110599078341,1.0,0.8044077134986226,0.9113607990012484,0.5,0.6728110599078341,0.3271889400921659
Baseline (Stratified),0.6175115207373272,0.7086092715231788,0.7328767123287672,0.7205387205387206,0.7278911564625851,0.5565792012348062,0.6990467355437374,0.3824884792626728
Logistic Regression,0.967741935483871,0.986013986013986,0.9657534246575342,0.9757785467128027,0.9697386519944979,0.9968165155315454,0.9985214288948148,0.023072070447180612
Random Forest,0.9723502304147466,0.972972972972973,0.9863013698630136,0.9795918367346939,0.9836065573770492,0.9975882693420799,0.9988211156157478,0.022851283059274485
XGBoost,0.9953917050691244,1.0,0.9931506849315068,0.9965635738831615,0.9945130315500685,1.0,1.0000000000000002,0.0012830206610168066
LightGBM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8777856052341134e-09
